96,1,20,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,1,16,2,1,443,2.434,0.586,SUCCESS,-1
88,240,7,408,10,0,1,16,4,1,443,2.506,0.658,SUCCESS,-1
88,240,7,408,10,0,1,16,8,1,443,2.473,0.589,SUCCESS,-1
88,240,7,408,10,0,1,16,16,1,443,2.55,0.654,SUCCESS,-1
88,240,7,408,10,0,1,16,32,1,443,2.48,0.696,SUCCESS,-1
88,240,7,408,10,0,1,16,64,1,443,2.963,1.1,SUCCESS,-1
88,240,7,408,10,0,1,32,1,1,443,2.843,0.904,SUCCESS,-1
88,240,7,408,10,0,1,32,2,1,443,2.679,0.894,SUCCESS,-1
88,240,7,408,10,0,1,32,4,1,443,2.601,0.815,SUCCESS,-1
88,240,7,408,10,0,1,32,8,1,443,2.782,0.962,SUCCESS,-1
88,240,7,408,10,0,1,32,16,1,443,3.344,1.229,SUCCESS,-1
88,240,7,408,10,0,1,32,32,1,443,3.006,1.163,SUCCESS,-1
88,240,7,408,10,0,1,64,1,1,443,3.077,0.939,SUCCESS,-1
88,240,7,408,10,0,1,64,2,1,443,3.003,0.814,SUCCESS,-1
88,240,7,408,10,0,1,64,4,1,443,2.699,0.875,SUCCESS,-1
88,240,7,408,10,0,1,64,8,1,443,2.648,0.861,SUCCESS,-1
88,240,7,408,10,0,1,64,16,1,443,2.843,0.955,SUCCESS,-1
88,240,7,408,10,0,2,1,16,1,443,2.674,0.828,SUCCESS,-1
88,240,7,408,10,0,2,1,32,1,443,2.742,0.825,SUCCESS,-1
88,240,7,408,10,0,2,1,64,1,443,2.725,0.905,SUCCESS,-1
88,240,7,408,10,0,2,1,128,1,443,2.766,0.83,SUCCESS,-1
88,240,7,408,10,0,2,1,256,1,443,2.773,0.837,SUCCESS,-1
88,240,7,408,10,0,2,1,512,1,443,2.913,0.932,SUCCESS,-1
88,240,7,408,10,0,2,1,1024,1,443,8.754,6.815,SUCCESS,-1
88,240,7,408,10,0,2,2,8,1,443,2.779,0.868,SUCCESS,-1
88,240,7,408,10,0,2,2,16,1,443,2.323,0.509,SUCCESS,-1
88,240,7,408,10,0,2,2,32,1,443,2.396,0.573,SUCCESS,-1
88,240,7,408,10,0,2,2,64,1,443,2.346,0.515,SUCCESS,-1
88,240,7,408,10,0,2,2,128,1,443,2.317,0.513,SUCCESS,-1
88,240,7,408,10,0,2,2,256,1,443,2.498,0.686,SUCCESS,-1
88,240,7,408,10,0,2,2,512,1,443,5.897,3.99,SUCCESS,-1
88,240,7,408,10,0,2,4,4,1,443,2.583,0.712,SUCCESS,-1
88,240,7,408,10,0,2,4,8,1,443,2.547,0.56,SUCCESS,-1
88,240,7,408,10,0,2,4,16,1,443,2.279,0.402,SUCCESS,-1
88,240,7,408,10,0,2,4,32,1,443,2.187,0.383,SUCCESS,-1
88,240,7,408,10,0,2,4,64,1,443,2.515,0.476,SUCCESS,-1
88,240,7,408,10,0,2,4,128,1,443,2.494,0.556,SUCCESS,-1
88,240,7,408,10,0,2,4,256,1,443,4.309,2.453,SUCCESS,-1
88,240,7,408,10,0,2,8,2,1,443,2.625,0.688,SUCCESS,-1
88,240,7,408,10,0,2,8,4,1,443,2.473,0.511,SUCCESS,-1
88,240,7,408,10,0,2,8,8,1,443,2.287,0.468,SUCCESS,-1
88,240,7,408,10,0,2,8,16,1,443,2.269,0.469,SUCCESS,-1
88,240,7,408,10,0,2,8,32,1,443,2.403,0.443,SUCCESS,-1
88,240,7,408,10,0,2,8,64,1,443,2.345,0.531,SUCCESS,-1
88,240,7,408,10,0,2,8,128,1,443,3.421,1.588,SUCCESS,-1
88,240,7,408,10,0,2,16,1,1,443,3.709,0.986,SUCCESS,-1
88,240,7,408,10,0,2,16,2,1,443,2.378,0.565,SUCCESS,-1
88,240,7,408,10,0,2,16,4,1,443,2.384,0.587,SUCCESS,-1
88,240,7,408,10,0,2,16,8,1,443,2.382,0.552,SUCCESS,-1
88,240,7,408,10,0,2,16,16,1,443,2.442,0.556,SUCCESS,-1
88,240,7,408,10,0,2,16,32,1,443,2.316,0.497,SUCCESS,-1
88,240,7,408,10,0,2,16,64,1,443,3.06,1.162,SUCCESS,-1
88,240,7,408,10,0,2,32,1,1,443,2.844,0.822,SUCCESS,-1
88,240,7,408,10,0,2,32,2,1,443,2.607,0.818,SUCCESS,-1
88,240,7,408,10,0,2,32,4,1,443,2.525,0.714,SUCCESS,-1
88,240,7,408,10,0,2,32,8,1,443,2.646,0.853,SUCCESS,-1
88,240,7,408,10,0,2,32,16,1,443,2.713,0.828,SUCCESS,-1
88,240,7,408,10,0,2,32,32,1,443,2.842,1.048,SUCCESS,-1
88,240,7,408,10,0,2,64,1,1,443,2.72,0.822,SUCCESS,-1
88,240,7,408,10,0,2,64,2,1,443,2.493,0.709,SUCCESS,-1
88,240,7,408,10,0,2,64,4,1,443,2.574,0.781,SUCCESS,-1
88,240,7,408,10,0,2,64,8,1,443,2.631,0.74,SUCCESS,-1
88,240,7,408,10,0,2,64,16,1,443,2.626,0.801,SUCCESS,-1
88,240,7,408,10,0,3,32,1,1,443,2.738,0.805,SUCCESS,-1
88,240,7,408,10,0,3,64,1,1,443,2.815,0.882,SUCCESS,-1
88,240,7,408,10,0,3,128,1,1,443,2.782,0.883,SUCCESS,-1
88,240,7,408,10,0,3,256,1,1,443,3.299,1.399,SUCCESS,-1
88,240,7,408,10,0,3,512,1,1,443,4.029,2.23,SUCCESS,-1
88,240,7,408,10,0,3,1024,1,1,443,9.049,6.337,SUCCESS,-1
88,240,7,408,10,0,4,32,1,1,443,2.744,0.82,SUCCESS,-1
88,240,7,408,10,0,4,64,1,1,443,2.686,0.894,SUCCESS,-1
88,240,7,408,10,0,4,128,1,1,443,2.696,0.819,SUCCESS,-1
88,240,7,408,10,0,4,256,1,1,443,3.011,1.174,SUCCESS,-1
88,240,7,408,10,0,4,512,1,1,443,3.57,1.774,SUCCESS,-1
88,240,7,408,10,0,4,1024,1,1,443,8.793,6.5,SUCCESS,-1
88,240,7,408,10,0,5,1,16,1,214,2.075,0.652,SUCCESS,-2
88,240,7,408,10,0,5,1,32,1,214,2.14,0.65,SUCCESS,-2
88,240,7,408,10,0,5,1,64,1,214,2.186,0.711,SUCCESS,-2
88,240,7,408,10,0,5,1,128,1,214,2.245,0.657,SUCCESS,-2
88,240,7,408,10,0,5,1,256,1,214,2.194,0.718,SUCCESS,-2
88,240,7,408,10,0,5,1,512,1,214,2.575,1.018,SUCCESS,-2
88,240,7,408,10,0,5,1,1024,1,214,7.576,6.049,SUCCESS,-2
88,240,7,408,10,0,5,2,8,1,214,2.111,0.694,SUCCESS,-2
88,240,7,408,10,0,5,2,16,1,214,1.863,0.388,SUCCESS,-2
88,240,7,408,10,0,5,2,32,1,214,1.85,0.41,SUCCESS,-2
88,240,7,408,10,0,5,2,64,1,214,1.829,0.399,SUCCESS,-2
88,240,7,408,10,0,5,2,128,1,214,1.836,0.461,SUCCESS,-2
88,240,7,408,10,0,5,2,256,1,214,2.393,0.697,SUCCESS,-2
88,240,7,408,10,0,5,2,512,1,214,4.886,3.44,SUCCESS,-2
88,240,7,408,10,0,5,4,4,1,214,2.043,0.598,SUCCESS,-2
88,240,7,408,10,0,5,4,8,1,214,1.882,0.458,SUCCESS,-2
88,240,7,408,10,0,5,4,16,1,214,1.827,0.353,SUCCESS,-2
88,240,7,408,10,0,5,4,32,1,214,1.818,0.338,SUCCESS,-2
88,240,7,408,10,0,5,4,64,1,214,1.968,0.427,SUCCESS,-2
88,240,7,408,10,0,5,4,128,1,214,2.356,0.633,SUCCESS,-2
88,240,7,408,10,0,5,4,256,1,214,3.62,2.203,SUCCESS,-2
88,240,7,408,10,0,5,8,2,1,214,2.127,0.666,SUCCESS,-2
88,240,7,408,10,0,5,8,4,1,214,1.894,0.479,SUCCESS,-2
88,240,7,408,10,0,5,8,8,1,214,1.922,0.536,SUCCESS,-2
88,240,7,408,10,0,5,8,16,1,214,1.908,0.492,SUCCESS,-2
88,240,7,408,10,0,5,8,32,1,214,1.977,0.463,SUCCESS,-2
88,240,7,408,10,0,5,8,64,1,214,2.077,0.582,SUCCESS,-2
88,240,7,408,10,0,5,8,128,1,214,3.003,1.539,SUCCESS,-2
88,240,7,408,10,0,5,16,1,1,214,2.506,0.855,SUCCESS,2
88,240,7,408,10,0,5,16,2,1,214,1.977,0.634,SUCCESS,-2
88,240,7,408,10,0,5,16,4,1,214,2.054,0.71,SUCCESS,-2
88,240,7,408,10,0,5,16,8,1,214,2.058,0.663,SUCCESS,-2
88,240,7,408,10,0,5,16,16,1,214,2.283,0.786,SUCCESS,-2
88,240,7,408,10,0,5,16,32,1,214,2.179,0.757,SUCCESS,-2
88,240,7,408,10,0,5,16,64,1,214,2.847,1.26,SUCCESS,-2
88,240,7,408,10,0,5,32,1,1,214,2.803,0.816,SUCCESS,-2
88,240,7,408,10,0,5,32,2,1,214,2.277,0.841,SUCCESS,-2
88,240,7,408,10,0,5,32,4,1,214,2.14,0.77,SUCCESS,-2
88,240,7,408,10,0,5,32,8,1,214,2.263,0.893,SUCCESS,-2
88,240,7,408,10,0,5,32,16,1,214,2.617,1.121,SUCCESS,-2
88,240,7,408,10,0,5,32,32,1,214,2.527,1.043,SUCCESS,-2
88,240,7,408,10,0,5,64,1,1,214,2.625,0.853,SUCCESS,-2
88,240,7,408,10,0,5,64,2,1,214,2.125,0.779,SUCCESS,-2
88,240,7,408,10,0,5,64,4,1,214,2.158,0.815,SUCCESS,-2
88,240,7,408,10,0,5,64,8,1,214,2.407,0.808,SUCCESS,-2
88,240,7,408,10,0,5,64,16,1,214,2.351,0.914,SUCCESS,-2
88,240,7,408,10,0,6,1,16,1,214,2.365,0.832,SUCCESS,-2
88,240,7,408,10,0,6,1,32,1,214,2.367,0.832,SUCCESS,-2
88,240,7,408,10,0,6,1,64,1,214,2.427,0.901,SUCCESS,-2
88,240,7,408,10,0,6,1,128,1,214,2.359,0.833,SUCCESS,-2
88,240,7,408,10,0,6,1,256,1,214,2.366,0.876,SUCCESS,-2
88,240,7,408,10,0,6,1,512,1,214,2.432,0.914,SUCCESS,-2
88,240,7,408,10,0,6,1,1024,1,214,8.299,6.526,SUCCESS,-2
88,240,7,408,10,0,6,2,8,1,214,2.375,0.854,SUCCESS,-2
88,240,7,408,10,0,6,2,16,1,214,1.975,0.477,SUCCESS,-2
88,240,7,408,10,0,6,2,32,1,214,2.021,0.51,SUCCESS,-2
88,240,7,408,10,0,6,2,64,1,214,2.107,0.486,SUCCESS,-2
88,240,7,408,10,0,6,2,128,1,214,2.054,0.482,SUCCESS,-2
88,240,7,408,10,0,6,2,256,1,214,2.154,0.648,SUCCESS,-2
88,240,7,408,10,0,6,2,512,1,214,5.169,3.528,SUCCESS,-2
88,240,7,408,10,0,6,4,4,1,214,2.132,0.637,SUCCESS,-2
88,240,7,408,10,0,6,4,8,1,214,2.01,0.488,SUCCESS,-2
88,240,7,408,10,0,6,4,16,1,214,1.884,0.321,SUCCESS,-2
88,240,7,408,10,0,6,4,32,1,214,2.126,0.316,SUCCESS,-2
88,240,7,408,10,0,6,4,64,1,214,2.039,0.408,SUCCESS,-2
88,240,7,408,10,0,6,4,128,1,214,2.033,0.492,SUCCESS,-2
88,240,7,408,10,0,6,4,256,1,214,3.673,2.007,SUCCESS,-2
88,240,7,408,10,0,6,8,2,1,214,2.028,0.521,SUCCESS,-2
88,240,7,408,10,0,6,8,4,1,214,2.028,0.385,SUCCESS,-2
88,240,7,408,10,0,6,8,8,1,214,2.01,0.303,SUCCESS,-2
88,240,7,408,10,0,6,8,16,1,214,1.793,0.302,SUCCESS,-2
88,240,7,408,10,0,6,8,32,1,214,2.108,0.289,SUCCESS,-2
88,240,7,408,10,0,6,8,64,1,214,1.894,0.385,SUCCESS,-2
88,240,7,408,10,0,6,8,128,1,214,2.748,1.152,SUCCESS,-2
88,240,7,408,10,0,6,16,1,1,214,2.24,0.621,SUCCESS,-2
88,240,7,408,10,0,6,16,2,1,214,1.957,0.361,SUCCESS,-2
88,240,7,408,10,0,6,16,4,1,214,1.815,0.279,SUCCESS,-2
88,240,7,408,10,0,6,16,8,1,214,1.829,0.284,SUCCESS,-2
88,240,7,408,10,0,6,16,16,1,214,2.141,0.287,SUCCESS,-2
88,240,7,408,10,0,6,16,32,1,214,1.832,0.287,SUCCESS,-2
88,240,7,408,10,0,6,16,64,1,214,2.232,0.721,SUCCESS,-2
88,240,7,408,10,0,6,32,1,1,214,2.318,0.392,SUCCESS,-2
88,240,7,408,10,0,6,32,2,1,214,1.932,0.333,SUCCESS,-2
88,240,7,408,10,0,6,32,4,1,214,1.761,0.273,SUCCESS,-2
88,240,7,408,10,0,6,32,8,1,214,1.924,0.315,SUCCESS,-2
88,240,7,408,10,0,6,32,16,1,214,1.844,0.321,SUCCESS,-2
88,240,7,408,10,0,6,32,32,1,214,2.052,0.498,SUCCESS,-2
88,240,7,408,10,0,6,64,1,1,214,1.845,0.327,SUCCESS,-2
88,240,7,408,10,0,6,64,2,1,214,1.989,0.273,SUCCESS,-2
88,240,7,408,10,0,6,64,4,1,214,2.087,0.282,SUCCESS,-2
88,240,7,408,10,0,6,64,8,1,214,1.905,0.293,SUCCESS,-2
88,240,7,408,10,0,6,64,16,1,214,1.786,0.302,SUCCESS,-2
88,240,7,408,10,0,7,1,16,1,214,2.449,0.848,SUCCESS,-1
