32,1,28,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,1,16,2,1,443,3.112,1.886,SUCCESS,-1
88,240,7,408,10,0,1,16,4,1,443,3.13,1.904,SUCCESS,-1
88,240,7,408,10,0,1,16,8,1,443,3.1,1.874,SUCCESS,-1
88,240,7,408,10,0,1,16,16,1,443,3.201,1.96,SUCCESS,-1
88,240,7,408,10,0,1,16,32,1,443,3.465,2.224,SUCCESS,-1
88,240,7,408,10,0,1,16,64,1,443,3.24,1.999,SUCCESS,-1
88,240,7,408,10,0,1,32,1,1,443,3.131,1.914,SUCCESS,-1
88,240,7,408,10,0,1,32,2,1,443,3.107,1.895,SUCCESS,-1
88,240,7,408,10,0,1,32,4,1,443,3.266,1.857,SUCCESS,-1
88,240,7,408,10,0,1,32,8,1,443,3.143,1.911,SUCCESS,-1
88,240,7,408,10,0,1,32,16,1,443,3.543,2.269,SUCCESS,-1
88,240,7,408,10,0,1,32,32,1,443,3.381,2.104,SUCCESS,-1
88,240,7,408,10,0,1,64,1,1,443,3.162,1.939,SUCCESS,-1
88,240,7,408,10,0,1,64,2,1,443,3.141,1.933,SUCCESS,-1
88,240,7,408,10,0,1,64,4,1,443,3.022,1.82,SUCCESS,-1
88,240,7,408,10,0,1,64,8,1,443,3.68,2.463,SUCCESS,-1
88,240,7,408,10,0,1,64,16,1,443,3.582,2.331,SUCCESS,-1
88,240,7,408,10,0,2,1,16,1,443,3.259,2.064,SUCCESS,-1
88,240,7,408,10,0,2,1,32,1,443,4.005,2.767,SUCCESS,-1
88,240,7,408,10,0,2,1,64,1,443,4.032,2.681,SUCCESS,-1
88,240,7,408,10,0,2,1,128,1,443,3.265,2.059,SUCCESS,-1
88,240,7,408,10,0,2,1,256,1,443,3.317,2.053,SUCCESS,-1
88,240,7,408,10,0,2,1,512,1,443,3.984,2.686,SUCCESS,-1
88,240,7,408,10,0,2,1,1024,1,443,11.497,2.18,SUCCESS,-1
88,240,7,408,10,0,2,2,8,1,443,3.972,2.714,SUCCESS,-1
88,240,7,408,10,0,2,2,16,1,443,4.125,2.788,SUCCESS,-1
88,240,7,408,10,0,2,2,32,1,443,3.253,2.037,SUCCESS,-1
88,240,7,408,10,0,2,2,64,1,443,3.322,2.098,SUCCESS,-1
88,240,7,408,10,0,2,2,128,1,443,4.164,2.83,SUCCESS,-1
88,240,7,408,10,0,2,2,256,1,443,4.321,3.031,SUCCESS,-1
88,240,7,408,10,0,2,2,512,1,443,3.242,2.04,SUCCESS,-1
88,240,7,408,10,0,2,4,4,1,443,3.263,2.024,SUCCESS,-1
88,240,7,408,10,0,2,4,8,1,443,3.346,2.146,SUCCESS,-1
88,240,7,408,10,0,2,4,16,1,443,3.324,2.105,SUCCESS,-1
88,240,7,408,10,0,2,4,32,1,443,4.189,2.878,SUCCESS,-1
88,240,7,408,10,0,2,4,64,1,443,3.312,2.04,SUCCESS,-1
88,240,7,408,10,0,2,4,128,1,443,3.286,2.043,SUCCESS,-1
88,240,7,408,10,0,2,4,256,1,443,3.234,2.029,SUCCESS,-1
88,240,7,408,10,0,2,8,2,1,443,3.03,1.8,SUCCESS,-1
88,240,7,408,10,0,2,8,4,1,443,3.75,2.472,SUCCESS,-1
88,240,7,408,10,0,2,8,8,1,443,3.785,2.482,SUCCESS,-1
88,240,7,408,10,0,2,8,16,1,443,3.832,2.468,SUCCESS,-1
88,240,7,408,10,0,2,8,32,1,443,3.043,1.784,SUCCESS,-1
88,240,7,408,10,0,2,8,64,1,443,3.302,2.106,SUCCESS,-1
88,240,7,408,10,0,2,8,128,1,443,4.155,2.888,SUCCESS,-1
88,240,7,408,10,0,2,16,1,1,443,3.04,1.771,SUCCESS,-1
88,240,7,408,10,0,2,16,2,1,443,3.695,2.441,SUCCESS,-1
88,240,7,408,10,0,2,16,4,1,443,3.09,1.85,SUCCESS,-1
88,240,7,408,10,0,2,16,8,1,443,3.129,1.908,SUCCESS,-1
88,240,7,408,10,0,2,16,16,1,443,3.12,1.89,SUCCESS,-1
88,240,7,408,10,0,2,16,32,1,443,3.819,2.461,SUCCESS,-1
88,240,7,408,10,0,2,16,64,1,443,4.398,3.103,SUCCESS,-1
88,240,7,408,10,0,2,32,1,1,443,2.954,1.76,SUCCESS,-1
88,240,7,408,10,0,2,32,2,1,443,3.003,1.797,SUCCESS,-1
88,240,7,408,10,0,2,32,4,1,443,5.33,4.04,SUCCESS,-1
88,240,7,408,10,0,2,32,8,1,443,3.173,1.96,SUCCESS,-1
88,240,7,408,10,0,2,32,16,1,443,3.898,2.722,SUCCESS,-1
88,240,7,408,10,0,2,32,32,1,443,3.268,2.045,SUCCESS,-1
88,240,7,408,10,0,2,64,1,1,443,3.846,2.564,SUCCESS,-1
88,240,7,408,10,0,2,64,2,1,443,3.933,2.595,SUCCESS,-1
88,240,7,408,10,0,2,64,4,1,443,3.214,1.986,SUCCESS,-1
88,240,7,408,10,0,2,64,8,1,443,3.056,1.817,SUCCESS,-1
88,240,7,408,10,0,2,64,16,1,443,3.352,2.183,SUCCESS,-1
88,240,7,408,10,0,3,128,1,1,443,3.406,2.208,SUCCESS,-1
88,240,7,408,10,0,3,256,1,1,443,3.871,2.606,SUCCESS,-1
88,240,7,408,10,0,3,512,1,1,443,4.63,3.447,SUCCESS,-1
88,240,7,408,10,0,3,1024,1,1,443,5.943,4.713,SUCCESS,-1
88,240,7,408,10,0,4,1,16,1,443,62.15,1.332,SUCCESS,-2
88,240,7,408,10,0,4,1,32,1,443,62.38,1.546,SUCCESS,-2
88,240,7,408,10,0,4,1,64,1,443,62.568,1.535,SUCCESS,-2
88,240,7,408,10,0,4,1,128,1,443,63.18,1.522,SUCCESS,-2
88,240,7,408,10,0,4,1,256,1,443,63.272,1.582,SUCCESS,-2
88,240,7,408,10,0,4,1,512,1,443,62.077,1.547,SUCCESS,-2
88,240,7,408,10,0,4,1,1024,1,443,63.408,1.825,SUCCESS,-2
88,240,7,408,10,0,4,2,8,1,443,61.639,1.546,SUCCESS,-2
88,240,7,408,10,0,4,2,16,1,443,61.886,1.534,SUCCESS,-2
88,240,7,408,10,0,4,2,32,1,443,62.44,1.541,SUCCESS,-2
88,240,7,408,10,0,4,2,64,1,443,63.401,1.578,SUCCESS,-2
88,240,7,408,10,0,4,2,128,1,443,62.778,1.557,SUCCESS,-2
88,240,7,408,10,0,4,2,256,1,443,62.455,1.6,SUCCESS,-2
88,240,7,408,10,0,4,2,512,1,443,61.624,1.507,SUCCESS,-2
88,240,7,408,10,0,4,4,4,1,443,61.179,1.521,SUCCESS,-2
88,240,7,408,10,0,4,4,8,1,443,61.905,1.543,SUCCESS,-2
88,240,7,408,10,0,4,4,16,1,443,61.562,1.538,SUCCESS,-2
88,240,7,408,10,0,4,4,32,1,443,62.359,1.545,SUCCESS,-2
88,240,7,408,10,0,4,4,64,1,443,63.56,1.548,SUCCESS,-2
88,240,7,408,10,0,4,4,128,1,443,62.502,1.538,SUCCESS,-2
88,240,7,408,10,0,4,4,256,1,443,62.181,1.52,SUCCESS,-2
88,240,7,408,10,0,4,8,2,1,443,63.088,0.44,SUCCESS,-2
88,240,7,408,10,0,4,8,4,1,443,60.656,0.521,SUCCESS,-2
88,240,7,408,10,0,4,8,8,1,443,61.276,0.499,SUCCESS,-2
88,240,7,408,10,0,4,8,16,1,443,70.091,0.657,SUCCESS,-2
88,240,7,408,10,0,4,8,32,1,443,60.946,0.427,SUCCESS,-2
88,240,7,408,10,0,4,8,64,1,443,61.163,0.458,SUCCESS,-2
88,240,7,408,10,0,4,8,128,1,443,62.268,0.457,SUCCESS,-2
88,240,7,408,10,0,4,16,1,1,443,60.726,0.469,SUCCESS,2
88,240,7,408,10,0,4,16,2,1,443,60.448,0.439,SUCCESS,-2
88,240,7,408,10,0,4,16,4,1,443,60.326,0.466,SUCCESS,-2
88,240,7,408,10,0,4,16,8,1,443,61.92,0.456,SUCCESS,-2
88,240,7,408,10,0,4,16,16,1,443,60.347,0.453,SUCCESS,-2
88,240,7,408,10,0,4,16,32,1,443,61.545,0.45,SUCCESS,-2
88,240,7,408,10,0,4,16,64,1,443,61.894,0.483,SUCCESS,-2
88,240,7,408,10,0,4,32,1,1,443,61.652,0.465,SUCCESS,-2
88,240,7,408,10,0,4,32,2,1,443,60.161,0.442,SUCCESS,-2
88,240,7,408,10,0,4,32,4,1,443,61.046,0.549,SUCCESS,-2
88,240,7,408,10,0,4,32,8,1,443,60.676,0.465,SUCCESS,-2
88,240,7,408,10,0,4,32,16,1,443,60.924,0.482,SUCCESS,-2
88,240,7,408,10,0,4,32,32,1,443,61.057,0.539,SUCCESS,-2
88,240,7,408,10,0,4,64,1,1,443,62.778,0.511,SUCCESS,-2
88,240,7,408,10,0,4,64,2,1,443,60.158,0.452,SUCCESS,-2
88,240,7,408,10,0,4,64,4,1,443,60.819,0.439,SUCCESS,-2
88,240,7,408,10,0,4,64,8,1,443,61.526,0.587,SUCCESS,-2
88,240,7,408,10,0,4,64,16,1,443,60.701,0.53,SUCCESS,-2
88,240,7,408,10,0,5,1,16,1,443,64.563,2.34,SUCCESS,-2
88,240,7,408,10,0,5,1,32,1,443,68.284,2.364,SUCCESS,-2
88,240,7,408,10,0,5,1,64,1,443,64.374,2.37,SUCCESS,-2
88,240,7,408,10,0,5,1,128,1,443,64.797,3.531,SUCCESS,-2
88,240,7,408,10,0,5,1,256,1,443,64.709,2.379,SUCCESS,-2
88,240,7,408,10,0,5,1,512,1,443,64.181,2.358,SUCCESS,-2
88,240,7,408,10,0,5,1,1024,1,443,64.128,2.362,SUCCESS,-2
88,240,7,408,10,0,5,2,8,1,443,64.832,2.466,SUCCESS,-2
88,240,7,408,10,0,5,2,16,1,443,64.214,2.366,SUCCESS,-2
88,240,7,408,10,0,5,2,32,1,443,63.742,2.483,SUCCESS,-2
88,240,7,408,10,0,5,2,64,1,443,64.213,2.376,SUCCESS,-2
88,240,7,408,10,0,5,2,128,1,443,64.254,2.189,SUCCESS,-2
88,240,7,408,10,0,5,2,256,1,443,63.934,2.355,SUCCESS,-2
88,240,7,408,10,0,5,2,512,1,443,64.631,2.407,SUCCESS,-2
88,240,7,408,10,0,5,4,4,1,443,65.845,3.53,SUCCESS,-2
88,240,7,408,10,0,5,4,8,1,443,64.234,2.474,SUCCESS,-2
88,240,7,408,10,0,5,4,16,1,443,63.724,2.354,SUCCESS,-2
88,240,7,408,10,0,5,4,32,1,443,64.681,2.37,SUCCESS,-2
88,240,7,408,10,0,5,4,64,1,443,65.122,2.374,SUCCESS,-2
88,240,7,408,10,0,5,4,128,1,443,64.705,2.371,SUCCESS,-2
88,240,7,408,10,0,5,4,256,1,443,64.225,2.373,SUCCESS,-2
88,240,7,408,10,0,5,8,2,1,443,64.021,2.33,SUCCESS,-2
88,240,7,408,10,0,5,8,4,1,443,64.075,2.294,SUCCESS,-2
88,240,7,408,10,0,5,8,8,1,443,64.363,2.471,SUCCESS,-2
88,240,7,408,10,0,5,8,16,1,443,65.552,2.523,SUCCESS,-2
88,240,7,408,10,0,5,8,32,1,443,64.511,2.418,SUCCESS,-2
88,240,7,408,10,0,5,8,64,1,443,65.565,2.519,SUCCESS,-2
88,240,7,408,10,0,5,8,128,1,443,64.703,2.406,SUCCESS,-2
88,240,7,408,10,0,5,16,1,1,443,64.274,2.635,SUCCESS,-2
88,240,7,408,10,0,5,16,2,1,443,63.85,2.343,SUCCESS,-2
88,240,7,408,10,0,5,16,4,1,443,63.965,2.372,SUCCESS,-2
88,240,7,408,10,0,5,16,8,1,443,64.702,2.443,SUCCESS,-2
