27,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,4,46,4,4,4,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,6,4,4,1,140,247,8.941,8.424,SUCCESS,-1
128,96,9,100,0,6,4,8,1,140,247,8.965,8.424,SUCCESS,-1
128,96,9,100,0,6,4,16,1,140,247,9.006,8.509,SUCCESS,-1
128,96,9,100,0,6,4,32,1,140,247,9.029,8.538,SUCCESS,-1
128,96,9,100,0,6,4,64,1,140,247,9.092,8.53,SUCCESS,-1
128,96,9,100,0,6,4,128,1,140,247,9.36,8.847,SUCCESS,-1
128,96,9,100,0,6,4,256,1,140,247,9.171,8.641,SUCCESS,-1
128,96,9,100,0,6,8,2,1,140,247,3.876,3.362,SUCCESS,-1
128,96,9,100,0,6,8,4,1,140,247,3.769,3.25,SUCCESS,-1
128,96,9,100,0,6,8,8,1,140,247,3.711,3.214,SUCCESS,-1
128,96,9,100,0,6,8,16,1,140,247,3.762,3.267,SUCCESS,-1
128,96,9,100,0,6,8,32,1,140,247,3.841,3.319,SUCCESS,-1
128,96,9,100,0,6,8,64,1,140,247,4.288,3.754,SUCCESS,-1
128,96,9,100,0,6,8,128,1,140,247,4.217,3.721,SUCCESS,-1
128,96,9,100,0,6,16,1,1,140,247,3.838,3.295,SUCCESS,-1
128,96,9,100,0,6,16,2,1,140,247,3.792,3.254,SUCCESS,-1
128,96,9,100,0,6,16,4,1,140,247,3.825,3.302,SUCCESS,-1
128,96,9,100,0,6,16,8,1,140,247,3.762,3.244,SUCCESS,-1
128,96,9,100,0,6,16,16,1,140,247,3.995,3.494,SUCCESS,-1
128,96,9,100,0,6,16,32,1,140,247,3.973,3.469,SUCCESS,-1
128,96,9,100,0,6,16,64,1,140,247,4.137,3.634,SUCCESS,-1
128,96,9,100,0,6,32,1,1,140,247,4.119,3.593,SUCCESS,-1
128,96,9,100,0,6,32,2,1,140,247,3.73,3.213,SUCCESS,-1
128,96,9,100,0,6,32,4,1,140,247,4.147,3.644,SUCCESS,-1
128,96,9,100,0,6,32,8,1,140,247,3.986,3.477,SUCCESS,-1
128,96,9,100,0,6,32,16,1,140,247,3.873,3.369,SUCCESS,-1
128,96,9,100,0,6,32,32,1,140,247,4.003,3.505,SUCCESS,-1
128,96,9,100,0,6,64,1,1,140,247,3.895,3.398,SUCCESS,-1
128,96,9,100,0,6,64,2,1,140,247,3.76,3.243,SUCCESS,-1
128,96,9,100,0,6,64,4,1,140,247,3.858,3.33,SUCCESS,-1
128,96,9,100,0,6,64,8,1,140,247,3.921,3.384,SUCCESS,-1
128,96,9,100,0,6,64,16,1,140,247,3.808,3.291,SUCCESS,-1
128,96,9,100,0,7,1,16,1,140,247,7.067,6.492,SUCCESS,-1
128,96,9,100,0,7,1,32,1,140,247,6.917,6.399,SUCCESS,-1
128,96,9,100,0,7,1,64,1,140,247,7.035,6.49,SUCCESS,-1
128,96,9,100,0,7,1,128,1,140,247,7.009,6.475,SUCCESS,-1
128,96,9,100,0,7,1,256,1,140,247,6.956,6.453,SUCCESS,-1
128,96,9,100,0,7,1,512,1,140,247,7.251,6.704,SUCCESS,-1
128,96,9,100,0,7,1,1024,1,140,247,6.908,6.409,SUCCESS,-1
128,96,9,100,0,7,2,8,1,140,247,6.935,6.397,SUCCESS,-1
128,96,9,100,0,7,2,16,1,140,247,7.113,6.53,SUCCESS,-1
128,96,9,100,0,7,2,32,1,140,247,7.018,6.463,SUCCESS,-1
128,96,9,100,0,7,2,64,1,140,247,7.073,6.581,SUCCESS,-1
128,96,9,100,0,7,2,128,1,140,247,6.883,6.395,SUCCESS,-1
128,96,9,100,0,7,2,256,1,140,247,7.087,6.585,SUCCESS,-1
128,96,9,100,0,7,2,512,1,140,247,6.908,6.383,SUCCESS,-1
128,96,9,100,0,7,4,4,1,140,247,6.991,6.45,SUCCESS,-1
128,96,9,100,0,7,4,8,1,140,247,7.007,6.514,SUCCESS,-1
128,96,9,100,0,7,4,16,1,140,247,7.017,6.492,SUCCESS,-1
128,96,9,100,0,7,4,32,1,140,247,7.144,6.619,SUCCESS,-1
128,96,9,100,0,7,4,64,1,140,247,7.626,7.118,SUCCESS,-1
128,96,9,100,0,7,4,128,1,140,247,7.181,6.694,SUCCESS,-1
128,96,9,100,0,7,4,256,1,140,247,7.012,6.504,SUCCESS,-1
128,96,9,100,0,7,8,2,1,140,247,3.868,3.334,SUCCESS,-1
128,96,9,100,0,7,8,4,1,140,247,3.849,3.324,SUCCESS,-1
128,96,9,100,0,7,8,8,1,140,247,3.794,3.299,SUCCESS,-1
128,96,9,100,0,7,8,16,1,140,247,3.917,3.386,SUCCESS,-1
128,96,9,100,0,7,8,32,1,140,247,4.24,3.726,SUCCESS,-1
128,96,9,100,0,7,8,64,1,140,247,3.911,3.389,SUCCESS,-1
128,96,9,100,0,7,8,128,1,140,247,4.182,3.697,SUCCESS,-1
128,96,9,100,0,7,16,1,1,140,247,3.862,3.305,SUCCESS,-1
128,96,9,100,0,7,16,2,1,140,247,3.894,3.375,SUCCESS,-1
128,96,9,100,0,7,16,4,1,140,247,3.849,3.357,SUCCESS,-1
128,96,9,100,0,7,16,8,1,140,247,4.572,4.054,SUCCESS,-1
128,96,9,100,0,7,16,16,1,140,247,3.905,3.42,SUCCESS,-1
128,96,9,100,0,7,16,32,1,140,247,4.216,3.647,SUCCESS,-1
128,96,9,100,0,7,16,64,1,140,247,4.626,4.092,SUCCESS,-1
128,96,9,100,0,7,32,1,1,140,247,3.965,3.458,SUCCESS,-1
128,96,9,100,0,7,32,2,1,140,247,3.837,3.288,SUCCESS,-1
128,96,9,100,0,7,32,4,1,140,247,3.841,3.339,SUCCESS,-1
128,96,9,100,0,7,32,8,1,140,247,3.958,3.457,SUCCESS,-1
128,96,9,100,0,7,32,16,1,140,247,4.046,3.518,SUCCESS,-1
128,96,9,100,0,7,32,32,1,140,247,4.495,3.9,SUCCESS,-1
128,96,9,100,0,7,64,1,1,140,247,3.821,3.324,SUCCESS,-1
128,96,9,100,0,7,64,2,1,140,247,3.895,3.366,SUCCESS,-1
128,96,9,100,0,7,64,4,1,140,247,3.864,3.353,SUCCESS,-1
128,96,9,100,0,7,64,8,1,140,247,3.981,3.457,SUCCESS,-1
128,96,9,100,0,7,64,16,1,140,247,4.316,3.804,SUCCESS,-1
128,96,9,100,0,8,1,16,1,140,247,13.143,12.018,SUCCESS,-1
128,96,9,100,0,8,1,32,1,140,247,13.275,12.128,SUCCESS,-1
128,96,9,100,0,8,1,64,1,140,247,13.327,12.157,SUCCESS,-1
128,96,9,100,0,8,1,128,1,140,247,13.913,12.733,SUCCESS,-1
128,96,9,100,0,8,1,256,1,140,247,13.352,12.23,SUCCESS,-1
128,96,9,100,0,8,1,512,1,140,247,13.326,12.187,SUCCESS,-1
128,96,9,100,0,8,1,1024,1,140,247,13.109,12.006,SUCCESS,-1
128,96,9,100,0,8,2,8,1,140,247,14.825,13.417,SUCCESS,-1
128,96,9,100,0,8,2,16,1,140,247,12.963,11.827,SUCCESS,-1
128,96,9,100,0,8,2,32,1,140,247,13.248,12.1,SUCCESS,-1
128,96,9,100,0,8,2,64,1,140,247,13.539,12.347,SUCCESS,-1
128,96,9,100,0,8,2,128,1,140,247,14.066,12.971,SUCCESS,-1
128,96,9,100,0,8,2,256,1,140,247,13.846,12.625,SUCCESS,-1
128,96,9,100,0,8,2,512,1,140,247,13.484,12.31,SUCCESS,-1
128,96,9,100,0,8,4,4,1,140,247,13.906,12.719,SUCCESS,-1
128,96,9,100,0,8,4,8,1,140,247,13.107,11.947,SUCCESS,-1
128,96,9,100,0,8,4,16,1,140,247,12.917,11.543,SUCCESS,-1
128,96,9,100,0,8,4,32,1,140,247,12.857,11.754,SUCCESS,-1
128,96,9,100,0,8,4,64,1,140,247,13.476,12.285,SUCCESS,-1
128,96,9,100,0,8,4,128,1,140,247,13.318,12.196,SUCCESS,-1
128,96,9,100,0,8,4,256,1,140,247,13.53,12.426,SUCCESS,-1
128,96,9,100,0,8,8,2,1,140,247,13.158,11.993,SUCCESS,-1
128,96,9,100,0,8,8,4,1,140,247,11.689,10.53,SUCCESS,-1
128,96,9,100,0,8,8,8,1,140,247,11.917,10.768,SUCCESS,-1
128,96,9,100,0,8,8,16,1,140,247,12.159,11.056,SUCCESS,-1
128,96,9,100,0,8,8,32,1,140,247,12.679,11.278,SUCCESS,-1
128,96,9,100,0,8,8,64,1,140,247,12.571,11.4,SUCCESS,-1
128,96,9,100,0,8,8,128,1,140,247,13.169,12.001,SUCCESS,-1
128,96,9,100,0,8,16,1,1,140,247,13.158,10.707,SUCCESS,-1
128,96,9,100,0,8,16,2,1,140,247,11.928,10.77,SUCCESS,-1
128,96,9,100,0,8,16,4,1,140,247,11.84,10.7,SUCCESS,-1
128,96,9,100,0,8,16,8,1,140,247,12.074,10.915,SUCCESS,-1
128,96,9,100,0,8,16,16,1,140,247,12.8,11.303,SUCCESS,-1
128,96,9,100,0,8,16,32,1,140,247,12.44,11.259,SUCCESS,-1
128,96,9,100,0,8,16,64,1,140,247,14.25,13.082,SUCCESS,-1
128,96,9,100,0,8,32,1,1,140,247,11.865,10.712,SUCCESS,-1
128,96,9,100,0,8,32,2,1,140,247,12.075,10.961,SUCCESS,-1
128,96,9,100,0,8,32,4,1,140,247,12.885,11.401,SUCCESS,-1
128,96,9,100,0,8,32,8,1,140,247,12.142,10.692,SUCCESS,-1
128,96,9,100,0,8,32,16,1,140,247,12.241,11.099,SUCCESS,-1
128,96,9,100,0,8,32,32,1,140,247,11.938,10.799,SUCCESS,-1
128,96,9,100,0,8,64,1,1,140,247,12.457,11.28,SUCCESS,-1
128,96,9,100,0,8,64,2,1,140,247,11.939,10.712,SUCCESS,-1
128,96,9,100,0,8,64,4,1,140,247,12.108,10.993,SUCCESS,-1
128,96,9,100,0,8,64,8,1,140,247,12.387,11.207,SUCCESS,-1
128,96,9,100,0,8,64,16,1,140,247,13.654,12.395,SUCCESS,-1
128,96,9,100,0,9,1,16,1,140,247,13.14,11.877,SUCCESS,-1
128,96,9,100,0,9,1,32,1,140,247,13.013,11.902,SUCCESS,-1
128,96,9,100,0,9,1,64,1,140,247,12.961,11.835,SUCCESS,-1
128,96,9,100,0,9,1,128,1,140,247,13.306,12.123,SUCCESS,-1
128,96,9,100,0,9,1,256,1,140,247,13.208,12.119,SUCCESS,-1
128,96,9,100,0,9,1,512,1,140,247,12.971,11.821,SUCCESS,-1
128,96,9,100,0,9,1,1024,1,140,247,13.137,12.046,SUCCESS,-1
128,96,9,100,0,9,2,8,1,140,247,12.242,11.142,SUCCESS,-1
128,96,9,100,0,9,2,16,1,140,247,12.845,11.64,SUCCESS,-1
128,96,9,100,0,9,2,32,1,140,247,12.835,11.747,SUCCESS,-1
128,96,9,100,0,9,2,64,1,140,247,12.701,11.625,SUCCESS,-1
128,96,9,100,0,9,2,128,1,140,247,13.631,12.492,SUCCESS,-1
128,96,9,100,0,9,2,256,1,140,247,12.926,11.823,SUCCESS,-1
128,96,9,100,0,9,2,512,1,140,247,13.926,12.754,SUCCESS,-1
128,96,9,100,0,9,4,4,1,140,247,12.989,11.87,SUCCESS,-1
128,96,9,100,0,9,4,8,1,140,247,12.745,11.567,SUCCESS,-1
128,96,9,100,0,9,4,16,1,140,247,13.163,12.025,SUCCESS,-1
128,96,9,100,0,9,4,32,1,140,247,12.978,11.897,SUCCESS,-1
128,96,9,100,0,9,4,64,1,140,247,13.281,12.191,SUCCESS,-1
128,96,9,100,0,9,4,128,1,140,247,13.079,11.977,SUCCESS,-1
