18,1,12,8,8,11,11,11,11,46,46,46,46,46,46
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,4,128,1,140,247,38,34,SUCCESS,-1
128,96,9,100,0,4,256,1,140,247,39,34,SUCCESS,-1
128,96,9,100,0,4,512,1,140,247,38,34,SUCCESS,-1
128,96,9,100,0,4,1024,1,140,247,40,34,SUCCESS,-1
128,96,9,100,0,5,1,1,140,247,111,108,WRONG_RESULT_FIXED,2
128,96,9,100,0,5,2,1,140,247,64,60,WRONG_RESULT_FIXED,3
128,96,9,100,0,5,4,1,140,247,38,35,WRONG_RESULT_FIXED,4
128,96,9,100,0,5,8,1,140,247,45,42,WRONG_RESULT_FIXED,5
128,96,9,100,0,5,16,1,140,247,59,56,WRONG_RESULT_FIXED,6
128,96,9,100,0,5,32,1,140,247,87,83,WRONG_RESULT_FIXED,7
128,96,9,100,0,5,64,1,140,247,87,83,WRONG_RESULT_FIXED,8
128,96,9,100,0,5,128,1,140,247,87,84,WRONG_RESULT_FIXED,9
128,96,9,100,0,5,256,1,140,247,90,86,SUCCESS,-1
128,96,9,100,0,5,512,1,140,247,90,86,SUCCESS,-1
128,96,9,100,0,5,1024,1,140,247,90,86,SUCCESS,-1
128,96,9,100,0,6,1,16,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,1,32,140,247,6,4,SUCCESS,-1
128,96,9,100,0,6,1,64,140,247,4,3,SUCCESS,-1
128,96,9,100,0,6,1,128,140,247,4,2,SUCCESS,-1
128,96,9,100,0,6,1,256,140,247,3,3,SUCCESS,-1
128,96,9,100,0,6,1,512,140,247,4,3,SUCCESS,-1
128,96,9,100,0,6,1,1024,140,247,10,8,SUCCESS,-1
128,96,9,100,0,6,2,8,140,247,10,9,SUCCESS,-1
128,96,9,100,0,6,2,16,140,247,6,5,SUCCESS,-1
128,96,9,100,0,6,2,32,140,247,5,4,SUCCESS,-1
128,96,9,100,0,6,2,64,140,247,5,4,SUCCESS,-1
128,96,9,100,0,6,2,128,140,247,8,4,SUCCESS,-1
128,96,9,100,0,6,2,256,140,247,5,4,SUCCESS,-1
128,96,9,100,0,6,2,512,140,247,7,6,SUCCESS,-1
128,96,9,100,0,6,4,4,140,247,13,10,SUCCESS,-1
128,96,9,100,0,6,4,8,140,247,8,6,SUCCESS,-1
128,96,9,100,0,6,4,16,140,247,7,6,SUCCESS,-1
128,96,9,100,0,6,4,32,140,247,7,5,SUCCESS,-1
128,96,9,100,0,6,4,64,140,247,7,6,SUCCESS,-1
128,96,9,100,0,6,4,128,140,247,8,5,SUCCESS,-1
128,96,9,100,0,6,4,256,140,247,6,6,SUCCESS,-1
128,96,9,100,0,6,8,2,140,247,14,13,SUCCESS,-1
128,96,9,100,0,6,8,4,140,247,10,8,SUCCESS,-1
128,96,9,100,0,6,8,8,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,8,16,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,8,32,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,8,64,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,8,128,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,16,1,140,247,18,17,SUCCESS,-1
128,96,9,100,0,6,16,2,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,4,140,247,12,10,SUCCESS,-1
128,96,9,100,0,6,16,8,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,16,140,247,12,10,SUCCESS,-1
128,96,9,100,0,6,16,32,140,247,12,11,SUCCESS,-1
128,96,9,100,0,6,16,64,140,247,13,11,SUCCESS,-1
128,96,9,100,0,6,32,1,140,247,17,16,SUCCESS,-1
128,96,9,100,0,6,32,2,140,247,17,15,SUCCESS,-1
128,96,9,100,0,6,32,4,140,247,16,15,SUCCESS,-1
128,96,9,100,0,6,32,8,140,247,17,15,SUCCESS,-1
128,96,9,100,0,6,32,16,140,247,17,15,SUCCESS,-1
128,96,9,100,0,6,32,32,140,247,17,16,SUCCESS,-1
128,96,9,100,0,6,64,1,140,247,17,16,SUCCESS,-1
128,96,9,100,0,6,64,2,140,247,18,15,SUCCESS,-1
128,96,9,100,0,6,64,4,140,247,17,15,SUCCESS,-1
128,96,9,100,0,6,64,8,140,247,17,16,SUCCESS,-1
128,96,9,100,0,6,64,16,140,247,17,16,SUCCESS,-1
128,96,9,100,0,7,1,16,140,247,10,9,SUCCESS,-1
128,96,9,100,0,7,1,32,140,247,7,5,SUCCESS,-1
128,96,9,100,0,7,1,64,140,247,5,3,SUCCESS,-1
128,96,9,100,0,7,1,128,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,256,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,512,140,247,4,3,SUCCESS,-1
128,96,9,100,0,7,1,1024,140,247,12,10,SUCCESS,-1
128,96,9,100,0,7,2,8,140,247,11,10,SUCCESS,-1
128,96,9,100,0,7,2,16,140,247,7,6,SUCCESS,-1
128,96,9,100,0,7,2,32,140,247,6,4,SUCCESS,-1
128,96,9,100,0,7,2,64,140,247,6,4,SUCCESS,-1
128,96,9,100,0,7,2,128,140,247,5,4,SUCCESS,-1
128,96,9,100,0,7,2,256,140,247,5,4,SUCCESS,-1
128,96,9,100,0,7,2,512,140,247,8,7,SUCCESS,-1
