64,1,19,8,8,11,11,11,11,46,46,46,46,46,46,46,1,1,46,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,6,4,256,140,247,6.853,6.106,SUCCESS,-1
128,96,9,100,0,6,8,2,140,247,13.873,13.08,SUCCESS,-1
128,96,9,100,0,6,8,4,140,247,9.028,8.258,SUCCESS,-1
128,96,9,100,0,6,8,8,140,247,8.99,8.152,SUCCESS,-1
128,96,9,100,0,6,8,16,140,247,8.73,7.952,SUCCESS,-1
128,96,9,100,0,6,8,32,140,247,9.268,8.058,SUCCESS,-1
128,96,9,100,0,6,8,64,140,247,8.781,7.959,SUCCESS,-1
128,96,9,100,0,6,8,128,140,247,9.333,8.531,SUCCESS,-1
128,96,9,100,0,6,16,1,140,247,18.462,17.62,SUCCESS,-1
128,96,9,100,0,6,16,2,140,247,11.963,11.099,SUCCESS,-1
128,96,9,100,0,6,16,4,140,247,11.767,10.974,SUCCESS,-1
128,96,9,100,0,6,16,8,140,247,12.036,11.099,SUCCESS,-1
128,96,9,100,0,6,16,16,140,247,11.832,11.025,SUCCESS,-1
128,96,9,100,0,6,16,32,140,247,12.23,11.44,SUCCESS,-1
128,96,9,100,0,6,16,64,140,247,12.664,11.801,SUCCESS,-1
128,96,9,100,0,6,32,1,140,247,17.285,16.372,SUCCESS,-1
128,96,9,100,0,6,32,2,140,247,16.488,15.69,SUCCESS,-1
128,96,9,100,0,6,32,4,140,247,16.671,15.916,SUCCESS,-1
128,96,9,100,0,6,32,8,140,247,16.792,15.968,SUCCESS,-1
128,96,9,100,0,6,32,16,140,247,16.799,15.984,SUCCESS,-1
128,96,9,100,0,6,32,32,140,247,16.996,16.117,SUCCESS,-1
128,96,9,100,0,6,64,1,140,247,17.061,16.277,SUCCESS,-1
128,96,9,100,0,6,64,2,140,247,16.817,16.019,SUCCESS,-1
128,96,9,100,0,6,64,4,140,247,16.752,15.999,SUCCESS,-1
128,96,9,100,0,6,64,8,140,247,17.254,16.525,SUCCESS,-1
128,96,9,100,0,6,64,16,140,247,17.614,16.807,SUCCESS,-1
128,96,9,100,0,7,1,16,140,247,10.381,9.55,SUCCESS,-1
128,96,9,100,0,7,1,32,140,247,6.492,5.706,SUCCESS,-1
128,96,9,100,0,7,1,64,140,247,4.443,3.651,SUCCESS,-1
128,96,9,100,0,7,1,128,140,247,3.923,3.099,SUCCESS,-1
128,96,9,100,0,7,1,256,140,247,4.098,3.202,SUCCESS,-1
128,96,9,100,0,7,1,512,140,247,4.296,3.489,SUCCESS,-1
128,96,9,100,0,7,1,1024,140,247,11.263,10.475,SUCCESS,-1
128,96,9,100,0,7,2,8,140,247,11.312,10.407,SUCCESS,-1
128,96,9,100,0,7,2,16,140,247,6.915,6.124,SUCCESS,-1
128,96,9,100,0,7,2,32,140,247,5.51,4.748,SUCCESS,-1
128,96,9,100,0,7,2,64,140,247,4.958,4.231,SUCCESS,-1
128,96,9,100,0,7,2,128,140,247,4.807,4.035,SUCCESS,-1
128,96,9,100,0,7,2,256,140,247,5.234,4.477,SUCCESS,-1
128,96,9,100,0,7,2,512,140,247,7.64,6.859,SUCCESS,-1
128,96,9,100,0,7,4,4,140,247,12.621,11.913,SUCCESS,-1
128,96,9,100,0,7,4,8,140,247,8.296,7.418,SUCCESS,-1
128,96,9,100,0,7,4,16,140,247,7.17,6.4,SUCCESS,-1
128,96,9,100,0,7,4,32,140,247,6.731,5.951,SUCCESS,-1
128,96,9,100,0,7,4,64,140,247,6.575,5.813,SUCCESS,-1
128,96,9,100,0,7,4,128,140,247,6.977,6.168,SUCCESS,-1
128,96,9,100,0,7,4,256,140,247,7.332,6.561,SUCCESS,-1
128,96,9,100,0,7,8,2,140,247,16.287,14.365,SUCCESS,-1
128,96,9,100,0,7,8,4,140,247,9.581,8.921,SUCCESS,-1
128,96,9,100,0,7,8,8,140,247,9.569,8.32,SUCCESS,-1
128,96,9,100,0,7,8,16,140,247,8.861,8.068,SUCCESS,-1
128,96,9,100,0,7,8,32,140,247,8.997,8.226,SUCCESS,-1
128,96,9,100,0,7,8,64,140,247,8.929,8.049,SUCCESS,-1
128,96,9,100,0,7,8,128,140,247,9.509,8.693,SUCCESS,-1
128,96,9,100,0,7,16,1,140,247,19.775,18.954,SUCCESS,-1
128,96,9,100,0,7,16,2,140,247,12.539,11.758,SUCCESS,-1
128,96,9,100,0,7,16,4,140,247,12.041,11.345,SUCCESS,-1
128,96,9,100,0,7,16,8,140,247,12.434,11.669,SUCCESS,-1
128,96,9,100,0,7,16,16,140,247,12.035,11.209,SUCCESS,-1
128,96,9,100,0,7,16,32,140,247,12.254,11.462,SUCCESS,-1
128,96,9,100,0,7,16,64,140,247,12.885,11.994,SUCCESS,-1
128,96,9,100,0,7,32,1,140,247,17.903,16.867,SUCCESS,-1
128,96,9,100,0,7,32,2,140,247,16.707,15.911,SUCCESS,-1
128,96,9,100,0,7,32,4,140,247,17.115,16.355,SUCCESS,-1
128,96,9,100,0,7,32,8,140,247,16.877,16.01,SUCCESS,-1
128,96,9,100,0,7,32,16,140,247,16.812,16.007,SUCCESS,-1
128,96,9,100,0,7,32,32,140,247,17.533,16.272,SUCCESS,-1
128,96,9,100,0,7,64,1,140,247,18.834,16.908,SUCCESS,-1
128,96,9,100,0,7,64,2,140,247,16.969,16.064,SUCCESS,-1
128,96,9,100,0,7,64,4,140,247,17.03,16.197,SUCCESS,-1
128,96,9,100,0,7,64,8,140,247,17.161,16.222,SUCCESS,-1
128,96,9,100,0,7,64,16,140,247,17.772,16.976,SUCCESS,-1
128,96,9,100,0,8,1,16,140,247,9.615,8.088,SUCCESS,-1
128,96,9,100,0,8,1,32,140,247,6.282,4.855,SUCCESS,-1
128,96,9,100,0,8,1,64,140,247,4.346,2.709,SUCCESS,-1
128,96,9,100,0,8,1,128,140,247,3.419,1.893,SUCCESS,-1
128,96,9,100,0,8,1,256,140,247,4.013,2.086,SUCCESS,-1
128,96,9,100,0,8,1,512,140,247,4.014,2.476,SUCCESS,-1
128,96,9,100,0,8,1,1024,140,247,10.095,8.595,SUCCESS,-1
128,96,9,100,0,8,2,8,140,247,9.629,8.041,SUCCESS,-1
128,96,9,100,0,8,2,16,140,247,6.129,4.613,SUCCESS,-1
128,96,9,100,0,8,2,32,140,247,4.132,2.859,SUCCESS,-1
